number,AllEven,Last4Increasing,NumberDigitExceptFirst,NumberDigit,Lap doi,Taxi,XXX,YYY,TuQuy
0325000228,False,False,5,5,False,False,False,False,False
0325000312,False,False,5,5,False,False,False,False,False
0325000316,False,False,6,6,False,False,False,False,False
0325000406,False,False,6,6,False,False,False,False,False
0325000414,False,False,6,6,False,False,False,False,False
0325000427,False,False,6,6,False,False,False,False,False
0325000466,False,False,6,6,False,False,False,False,False
0325000669,False,False,6,6,False,False,False,False,False
0325000838,False,False,5,5,False,False,False,False,False
0325000908,False,False,6,6,False,False,False,False,False
0325001639,False,False,7,7,False,False,False,False,False
0325001699,False,False,7,7,False,False,False,False,False
0325001739,False,False,7,7,False,False,False,False,False
0325002186,False,False,7,7,False,False,False,False,False
0325002188,False,False,6,6,False,False,False,False,False
0325002602,False,False,5,5,False,False,False,False,False
0325002966,False,False,6,6,False,False,False,False,False
0325003334,False,False,5,5,False,False,False,False,False
0325003703,False,False,5,5,False,False,False,False,False
0325004399,False,False,6,6,False,False,False,False,False
0325004988,False,False,7,7,False,False,False,False,False
0325005299,False,False,5,5,False,False,False,False,False
0325005553,False,False,4,4,False,False,False,False,False
0325005866,False,False,6,6,False,False,False,False,False
0325006588,False,False,6,6,False,False,False,False,False
0325006786,False,False,7,7,False,False,False,False,False
0325007399,False,False,6,6,False,False,False,False,False
0325008900,False,False,6,6,False,False,False,False,False
0325009286,False,False,7,7,False,False,False,False,False
0325010483,False,False,7,7,False,False,False,False,False
0325010700,False,False,6,6,False,False,False,False,False
0325010884,False,False,7,7,False,False,False,False,False
0325010968,False,False,8,8,False,False,False,False,False
0325010997,False,False,7,7,False,False,False,False,False
0325011200,False,False,5,5,False,False,False,False,False
0325011204,False,False,6,6,False,False,False,False,False
0325011284,False,False,7,7,False,False,False,False,False
0325012439,False,False,7,7,False,False,False,False,False
0325012966,False,False,7,7,False,False,False,False,False
0325013068,False,False,7,7,False,False,False,False,False
0325013179,False,False,7,7,False,False,False,False,False
0325013639,False,False,7,7,False,False,False,False,False
0325013801,False,False,6,6,False,False,False,False,False
0325014166,False,False,7,7,False,False,False,False,False
0325014179,False,False,8,8,False,False,False,False,False
0325014186,False,False,8,8,False,False,False,False,False
0325014386,False,False,8,8,False,False,False,False,False
0325014679,False,False,9,9,False,False,False,False,False
0325015388,False,False,6,6,False,False,False,False,False
0325015839,False,False,7,7,False,False,False,False,False
0325016379,False,False,8,8,False,False,False,False,False
0325017201,False,False,6,6,False,False,False,False,False
0325017366,False,False,7,7,False,False,False,False,False
0325017499,False,False,8,8,False,False,False,False,False
0325017539,False,False,7,7,False,False,False,False,False
0325017579,False,False,7,7,False,False,False,False,False
0325017586,False,False,8,8,False,False,False,False,False
0325018279,False,False,8,8,False,False,False,False,False
0325018288,False,False,6,6,False,False,False,False,False
